raspZ0, 2023/08/20_05:30:01, 1692509401, 28.62, 985.11, 53.56
raspZ0, 2023/08/20_05:40:01, 1692510001, 28.56, 985.01, 53.97
raspZ0, 2023/08/20_05:50:02, 1692510602, 28.35, 985.06, 54.32
raspZ0, 2023/08/20_06:00:02, 1692511202, 28.57, 985.14, 53.53
raspZ0, 2023/08/20_06:10:02, 1692511802, 28.28, 985.23, 53.89
raspZ0, 2023/08/20_06:20:02, 1692512402, 28.38, 985.29, 53.34
raspZ0, 2023/08/20_06:30:02, 1692513002, 28.41, 985.26, 53.0
raspZ0, 2023/08/20_06:40:02, 1692513602, 28.19, 985.25, 53.45
raspZ0, 2023/08/20_06:50:02, 1692514202, 28.03, 985.24, 53.6
raspZ0, 2023/08/20_07:00:02, 1692514802, 28.33, 985.22, 52.88
raspZ0, 2023/08/20_07:10:02, 1692515402, 28.54, 985.29, 52.16
raspZ0, 2023/08/20_07:20:02, 1692516002, 28.74, 985.42, 51.63
raspZ0, 2023/08/20_07:30:02, 1692516602, 28.95, 985.52, 51.03
raspZ1, 2023/08/20_07:35:25, 1692516925, 26.04, 985.95, 59.83
raspZ0, 2023/08/20_07:40:02, 1692517202, 28.62, 985.69, 51.91
raspZ1, 2023/08/20_07:41:55, 1692517315, 25.95, 986.02, 60.1
raspZ0, 2023/08/20_07:50:02, 1692517802, 28.31, 985.66, 52.45
raspZ1, 2023/08/20_07:56:02, 1692518162, 25.94, 986.07, 60.04
raspZ1, 2023/08/20_07:57:02, 1692518222, 25.93, 985.98, 59.98
raspZ1, 2023/08/20_07:58:02, 1692518282, 25.92, 986.02, 60.01
raspZ1, 2023/08/20_07:59:02, 1692518342, 25.93, 986.06, 60.02
raspZ0, 2023/08/20_08:00:02, 1692518402, 28.45, 985.63, 52.22
raspZ1, 2023/08/20_08:01:02, 1692518462, 25.93, 986.07, 60.03
raspZ1, 2023/08/20_08:02:02, 1692518522, 25.94, 986.02, 60.02
raspZ1, 2023/08/20_08:03:02, 1692518582, 25.93, 985.98, 60.02
raspZ1, 2023/08/20_08:04:02, 1692518642, 25.95, 985.98, 60.0
raspZ1, 2023/08/20_08:05:02, 1692518702, 25.95, 985.99, 59.94
raspZ1, 2023/08/20_08:06:02, 1692518762, 25.95, 985.94, 59.92
raspZ1, 2023/08/20_08:07:02, 1692518822, 25.94, 985.89, 59.97
raspZ1, 2023/08/20_08:08:02, 1692518882, 25.95, 985.9, 59.96
raspZ1, 2023/08/20_08:09:02, 1692518942, 25.93, 985.88, 59.93
raspZ1, 2023/08/20_08:10:02, 1692519002, 25.92, 985.92, 59.99
raspZ1, 2023/08/20_08:11:02, 1692519062, 25.95, 985.86, 59.95
raspZ1, 2023/08/20_08:12:02, 1692519122, 25.93, 985.93, 59.95
raspZ1, 2023/08/20_08:13:01, 1692519181, 25.93, 985.96, 60.0
raspZ1, 2023/08/20_08:14:01, 1692519241, 25.91, 985.86, 60.07
raspZ1, 2023/08/20_08:15:01, 1692519301, 25.92, 985.92, 60.05
raspZ1, 2023/08/20_08:16:01, 1692519361, 25.94, 985.97, 60.02
raspZ1, 2023/08/20_08:17:02, 1692519422, 25.92, 985.94, 60.05
raspZ1, 2023/08/20_08:18:02, 1692519482, 25.94, 985.99, 60.03
raspZ1, 2023/08/20_08:19:02, 1692519542, 25.93, 985.93, 60.02
raspZ0, 2023/08/20_08:20:02, 1692519602, 28.19, 985.64, 52.95
raspZ1, 2023/08/20_08:21:02, 1692519662, 25.96, 985.93, 59.99
raspZ1, 2023/08/20_08:22:02, 1692519722, 25.95, 985.91, 59.98
raspZ1, 2023/08/20_08:23:02, 1692519782, 25.94, 985.91, 60.02
raspZ1, 2023/08/20_08:24:02, 1692519842, 25.97, 985.96, 59.97
raspZ1, 2023/08/20_08:25:02, 1692519902, 25.97, 985.86, 59.94
raspZ1, 2023/08/20_08:26:02, 1692519962, 25.96, 985.9, 59.98
raspZ1, 2023/08/20_08:28:02, 1692520082, 26.0, 985.99, 60.21
raspZ0, 2023/08/20_08:30:02, 1692520202, 28.25, 985.51, 52.87
raspZ1, 2023/08/20_08:32:02, 1692520322, 25.99, 985.92, 60.04
raspZ1, 2023/08/20_08:34:02, 1692520442, 26.14, 985.88, 59.97
raspZ1, 2023/08/20_08:36:02, 1692520562, 26.02, 985.88, 60.03
raspZ1, 2023/08/20_08:38:02, 1692520682, 26.09, 985.96, 59.97
raspZ1, 2023/08/20_08:40:02, 1692520802, 26.08, 985.92, 60.14
raspZ1, 2023/08/20_08:42:02, 1692520922, 26.12, 985.93, 60.32
raspZ1, 2023/08/20_08:44:02, 1692521042, 26.22, 985.91, 60.27
raspZ1, 2023/08/20_08:46:02, 1692521162, 26.26, 985.91, 60.4
raspZ1, 2023/08/20_08:48:02, 1692521282, 26.23, 985.92, 60.72
raspZ1, 2023/08/20_08:50:02, 1692521402, 26.23, 985.86, 60.75
raspZ1, 2023/08/20_08:52:02, 1692521522, 26.35, 985.85, 60.83
raspZ0, 2023/08/20_09:00:01, 1692522001, 28.44, 985.58, 53.68
raspZ1, 2023/08/20_09:01:02, 1692522062, 26.18, 985.94, 61.07
raspZ1, 2023/08/20_09:03:02, 1692522182, 26.18, 985.95, 61.06
raspZ1, 2023/08/20_09:05:02, 1692522302, 26.2, 986.01, 60.8
raspZ1, 2023/08/20_09:07:02, 1692522422, 26.33, 986.05, 60.6
raspZ1, 2023/08/20_09:09:03, 1692522543, 26.2, 986.07, 60.81
raspZ0, 2023/08/20_09:10:02, 1692522602, 28.2, 985.71, 54.28
raspZ1, 2023/08/20_09:11:02, 1692522662, 26.17, 986.02, 61.15
raspZ0, 2023/08/20_09:20:02, 1692523202, 28.2, 985.71, 54.55
raspZ1, 2023/08/20_09:21:02, 1692523262, 26.29, 985.94, 60.96
raspZ0, 2023/08/20_09:30:02, 1692523802, 28.57, 985.66, 54.05
raspZ1, 2023/08/20_09:31:02, 1692523862, 26.31, 985.97, 61.59
raspZ0, 2023/08/20_09:40:02, 1692524402, 28.29, 985.55, 55.08
raspZ1, 2023/08/20_09:41:02, 1692524462, 26.32, 985.96, 61.94
raspZ0, 2023/08/20_09:50:02, 1692525002, 28.17, 985.62, 55.62
raspZ1, 2023/08/20_09:51:02, 1692525062, 26.37, 985.99, 61.84
raspZ0, 2023/08/20_10:00:02, 1692525602, 28.29, 985.64, 55.42
raspZ1, 2023/08/20_10:01:02, 1692525662, 26.46, 986.02, 61.92
raspZ0, 2023/08/20_10:10:02, 1692526202, 28.42, 985.71, 55.9
raspZ1, 2023/08/20_10:11:02, 1692526262, 26.5, 986.06, 62.52
raspZ0, 2023/08/20_10:20:02, 1692526802, 28.39, 985.76, 56.09
raspZ1, 2023/08/20_10:21:02, 1692526862, 26.57, 986.06, 62.44
raspZ0, 2023/08/20_10:30:02, 1692527402, 28.46, 985.73, 56.4
raspZ1, 2023/08/20_10:31:02, 1692527462, 26.64, 986.12, 62.63
raspZ0, 2023/08/20_10:40:02, 1692528002, 28.48, 985.72, 55.82
raspZ1, 2023/08/20_10:41:02, 1692528062, 26.69, 985.98, 61.97
raspZ0, 2023/08/20_10:50:02, 1692528602, 28.56, 985.7, 55.27
raspZ1, 2023/08/20_10:51:02, 1692528662, 26.74, 986.02, 61.44
raspZ0, 2023/08/20_11:00:02, 1692529202, 28.67, 985.7, 54.87
raspZ1, 2023/08/20_11:01:02, 1692529262, 26.8, 986.0, 61.15
raspZ0, 2023/08/20_11:10:02, 1692529802, 28.74, 985.73, 54.42
raspZ1, 2023/08/20_11:11:02, 1692529862, 26.87, 986.0, 60.53
raspZ0, 2023/08/20_11:20:02, 1692530402, 28.78, 985.71, 54.35
raspZ1, 2023/08/20_11:21:02, 1692530462, 26.96, 986.02, 60.24
raspZ0, 2023/08/20_11:30:02, 1692531002, 28.91, 985.61, 53.39
raspZ1, 2023/08/20_11:31:02, 1692531062, 27.07, 985.98, 58.92
raspZ0, 2023/08/20_11:40:02, 1692531602, 29.07, 985.65, 52.72
raspZ1, 2023/08/20_11:41:03, 1692531663, 27.16, 985.96, 58.57
raspZ0, 2023/08/20_11:50:02, 1692532202, 29.43, 985.53, 51.72
raspZ1, 2023/08/20_11:51:02, 1692532262, 27.26, 985.9, 58.12
raspZ0, 2023/08/20_12:00:02, 1692532802, 29.29, 985.48, 51.82
raspZ1, 2023/08/20_12:01:02, 1692532862, 27.34, 985.76, 57.91
raspZ0, 2023/08/20_12:10:01, 1692533401, 29.31, 985.54, 50.68
raspZ1, 2023/08/20_12:11:19, 1692533479, 27.45, 985.75, 57.01
raspZ0, 2023/08/20_12:20:02, 1692534002, 29.38, 985.46, 51.06
raspZ1, 2023/08/20_12:21:03, 1692534063, 27.51, 985.78, 56.88
raspZ0, 2023/08/20_12:30:02, 1692534602, 29.46, 985.42, 50.61
